Id,Name,Latitude,Longitude,Country,CountryCode,Status,ReactorType,ReactorModel,ConstructionStartAt,OperationalFrom,OperationalTo,Capacity,LastUpdatedAt,Source,IAEAId
136,Chernobyl-2,51.389000,30.103000,Ukraine,UA,Shutdown,LWGR,RBMK,02-01-73,05-28-79,10-11-91,925,5/24/15 7:51,WNA/IAEA,569
137,Chernobyl-3,51.389000,30.103000,Ukraine,UA,Shutdown,LWGR,RBMK,03-01-76,06-08-82,12-15-00,925,5/24/15 7:51,WNA/IAEA,575
138,Chernobyl-4,51.389000,30.103000,Ukraine,UA,Shutdown,LWGR,RBMK,04-01-79,03-26-84,04-26-86,925,5/24/15 7:51,WNA/IAEA,576
139,Chin Shan-1,25.292000,121.567000,Taiwan,TW,Shutdown,BWR,BWR-4 (Mark 1),06-02-72,12-10-78,12-06-18,604,6/2/19 23:18,WNA/IAEA,554
140,Chin Shan-2,25.292000,121.567000,Taiwan,TW,Shutdown,BWR,BWR-4 (Mark 1),12-07-73,07-15-79,07-16-19,604,11-22-19,WNA/IAEA,555
141,Chinon-A1,47.232000,0.167000,France,FR,Shutdown,GCR,UNGG,02-01-57,02-01-64,04-16-73,68,5/24/15 7:50,WNA/IAEA,173
142,Chinon-A2,47.232000,0.167000,France,FR,Shutdown,GCR,UNGG,08-01-59,02-24-65,06-14-85,170,5/24/15 7:50,WNA/IAEA,184
143,Chinon-A3,47.232000,0.167000,France,FR,Shutdown,GCR,UNGG,03-01-61,08-04-66,06-15-90,480,5/24/15 7:50,WNA/IAEA,195
144,Chinon-B1,47.232000,0.167000,France,FR,Operational,PWR,CP2,03-01-77,02-01-84,,870,5/24/15 7:50,WNA/IAEA,196
145,Chinon-B2,47.232000,0.167000,France,FR,Operational,PWR,CP2,03-01-77,08-01-84,,870,5/24/15 7:50,WNA/IAEA,197
146,Chinon-B3,47.232000,0.167000,France,FR,Operational,PWR,CP2,10-01-80,03-04-87,,905,5/24/15 7:51,WNA/IAEA,213
147,Chinon-B4,47.232000,0.167000,France,FR,Operational,PWR,CP2,02-01-81,04-01-88,,905,5/24/15 7:51,WNA/IAEA,214
148,Chooz-A,50.086000,4.792000,France,FR,Shutdown,PWR,CHOOZ-A,01-01-62,04-15-67,10-30-91,280,5/24/15 7:51,WNA/IAEA,206
149,Chooz-B1,50.086000,4.792000,France,FR,Operational,PWR,N4 REP 1450,01-01-84,05-15-00,,1455,5/24/15 7:51,WNA/IAEA,220
150,Chooz-B2,50.086000,4.792000,France,FR,Operational,PWR,N4 REP 1450,12-31-85,09-29-00,,1455,5/24/15 7:51,WNA/IAEA,226
151,Civaux-1,46.457000,0.654000,France,FR,Operational,PWR,N4 REP 1450,10-15-88,01-29-02,,1450,5/24/15 7:51,WNA/IAEA,227
152,Civaux-2,46.457000,0.654000,France,FR,Operational,PWR,N4 REP 1450,04-01-91,04-23-02,,1450,5/24/15 7:51,WNA/IAEA,228
153,Clinton-1,40.172000,-88.834000,United States,US,Operational,BWR,BWR-6 (Mark 3),10-01-75,11-24-87,,950,5/24/15 7:51,WNA/IAEA,742
154,Cofrentes,39.216000,-1.051000,Spain,ES,Operational,BWR,BWR-6 (Mark 3),09-09-75,03-11-85,,939,2/11/17 1:56,WNA/IAEA,140
155,Columbia (WNP-2),46.471000,-119.333000,United States,US,Operational,BWR,BWR-5 (Mark 2),08-01-72,12-13-84,,1100,5/24/15 7:51,WNA/IAEA,702
156,Comanche Peak-1,32.301000,-97.787000,United States,US,Operational,PWR,WH 4LP (DRYAMB),12-19-74,08-13-90,,1150,2/11/17 1:59,WNA/IAEA,729
157,Comanche Peak-2,32.301000,-97.787000,United States,US,Operational,PWR,WH 4LP (DRYAMB),12-19-74,08-03-93,,1150,2/11/17 1:59,WNA/IAEA,730
158,Cooper,40.361000,-95.643000,United States,US,Operational,BWR,BWR-4 (Mark 1),06-01-68,07-01-74,,778,5/24/15 7:51,WNA/IAEA,642
159,Cruas-1,44.634000,4.757000,France,FR,Operational,PWR,CP2,08-01-78,04-02-84,,880,5/24/15 7:50,WNA/IAEA,198
160,Cruas-2,44.634000,4.757000,France,FR,Operational,PWR,CP2,11-15-78,04-01-85,,915,5/24/15 7:50,WNA/IAEA,199
161,Cruas-3,44.634000,4.757000,France,FR,Operational,PWR,CP2,04-15-79,09-10-84,,880,5/24/15 7:50,WNA/IAEA,200
162,Cruas-4,44.634000,4.757000,France,FR,Operational,PWR,CP2,10-01-79,02-11-85,,880,5/24/15 7:50,WNA/IAEA,201
163,Crystal River-3,28.966000,-82.697000,United States,US,Shutdown,PWR,B&W LLP (DRYAMB),09-25-68,03-13-77,02-05-13,825,2/11/17 1:58,WNA/IAEA,645
164,Dampierre-1,47.732000,2.513000,France,FR,Operational,PWR,CP1,02-01-75,09-10-80,,890,5/24/15 7:50,WNA/IAEA,176
165,Dampierre-2,47.732000,2.513000,France,FR,Operational,PWR,CP1,04-01-75,02-16-81,,890,5/24/15 7:50,WNA/IAEA,183
166,Dampierre-3,47.732000,2.513000,France,FR,Operational,PWR,CP1,09-01-75,05-27-81,,890,5/24/15 7:50,WNA/IAEA,185
167,Dampierre-4,47.732000,2.513000,France,FR,Operational,PWR,CP1,12-01-75,11-20-81,,890,5/24/15 7:50,WNA/IAEA,186
168,Darkhovin,30.707778,48.380000,Iran,IR,Unknown,PWR,,,,,,,Wikipedia,
169,Darlington-1,43.867000,-78.724000,Canada,CA,Operational,PHWR,CANDU 850,04-01-82,11-14-92,,881,5/24/15 7:50,WNA/IAEA,43
170,Darlington-2,43.867000,-78.724000,Canada,CA,Operational,PHWR,CANDU 850,09-01-81,10-09-90,,881,5/24/15 7:50,WNA/IAEA,44
171,Darlington-3,43.867000,-78.724000,Canada,CA,Operational,PHWR,CANDU 850,09-01-84,02-14-93,,881,5/24/15 7:50,WNA/IAEA,45
172,Darlington-4,43.867000,-78.724000,Canada,CA,Operational,PHWR,CANDU 850,07-01-85,06-14-93,,881,5/24/15 7:50,WNA/IAEA,46
173,Darlington-5,43.864400,-78.724400,Canada,CA,Planned,PHWR,,,,,,,WNA,
174,Darlington-6,43.863300,-78.724400,Canada,CA,Planned,PHWR,,,,,,,WNA,
175,Davis Besse-1,41.597000,-83.092000,United States,US,Operational,PWR,B&W RLP (DRYAMB),09-01-70,07-31-78,,906,2/11/17 1:58,WNA/IAEA,676
176,Daya Bay-1 (Guangdong-1),22.599000,114.544000,China,CN,Operational,PWR,M310,08-07-87,02-01-94,,930,5/24/15 7:50,WNA/IAEA,63
177,Daya Bay-2 (Guangdong-2),22.599000,114.544000,China,CN,Operational,PWR,M310,04-07-88,05-06-94,,930,5/24/15 7:50,WNA/IAEA,64
178,Diablo Canyon-1,35.212000,-120.854000,United States,US,Operational,PWR,WH 4LP (DRYAMB),04-23-68,05-07-85,,1084,2/11/17 1:58,WNA/IAEA,628
179,Diablo Canyon-2,35.212000,-120.854000,United States,US,Operational,PWR,WH 4LP (DRYAMB),12-09-70,03-13-86,,1106,2/11/17 1:58,WNA/IAEA,660
180,Doel-1,51.323000,4.259000,Belgium,BE,Operational,PWR,WH 2LP,07-01-69,02-15-75,,392,2/11/17 1:55,WNA/IAEA,9
181,Doel-2,51.323000,4.259000,Belgium,BE,Operational,PWR,WH 2LP,09-01-71,12-01-75,,445,1/6/21 3:19,WNA/IAEA,11
182,Doel-3,51.323000,4.259000,Belgium,BE,Shutdown,PWR,WH 3LP,01-01-75,10-01-82,09-23-22,890,12/30/22 2:57,WNA/IAEA,12
183,Doel-4,51.323000,4.259000,Belgium,BE,Operational,PWR,WH 3LP,12-01-78,07-01-85,,1000,2/11/17 1:55,WNA/IAEA,14
